name,category,difficulty_level,calories_per_minute,is_popular,usage_count,wger_id,wger_category_id
Standing biceps stretch right,arms,beginner,5.0,1,0,1233,8
Ball crunches,abs,beginner,5.0,0,0,165,10
Abdominal Stabilization,abs,beginner,5.0,1,0,56,10
Finger Pushup,arms,beginner,5.0,0,0,1217,8
Lunges,legs,beginner,5.0,0,0,984,9
Fingerboard 20 mm edge,arms,beginner,5.0,0,0,820,8
Split squats right,legs,beginner,5.0,0,0,992,9
Military Press mit SZ-Bar,shoulders,beginner,5.0,0,0,418,13
Skullcrusher Dumbbells,arms,beginner,5.0,1,0,245,8
Dumbbell Lunges Standing,legs,beginner,5.0,1,0,205,9
Battle Ropes,cardio,beginner,5.0,1,0,1524,15
Heel Touches,abs,beginner,5.0,1,0,1411,10
Dumbbell upright-row,arms,beginner,5.0,1,0,1229,8
Knee Raises,abs,beginner,5.0,1,0,978,10
Dumbbell Floor Press,arms,beginner,5.0,1,0,1084,8
Pistol squats right,legs,beginner,5.0,0,0,1020,9
Jalón cerrado supino,back,beginner,5.0,1,0,1127,12
TORSO TWIST,abs,beginner,5.0,1,0,1377,10
Neck half circles,back,beginner,5.0,0,0,1017,12
Rack Deadlift,back,beginner,5.0,1,0,484,12
Shoulder Press (Dumbbell),arms,beginner,5.0,1,0,1337,8
Dumbbell drag curls,arms,beginner,5.0,1,0,1224,8
Smith Machine Close-grip Bench Press,arms,beginner,5.0,1,0,598,8
Seated Corkscrew,abs,beginner,5.0,1,0,1477,10
Shoulder width three-point push-up,arms,beginner,5.0,0,0,1209,8
Biceps Curl Machine,arms,beginner,5.0,1,0,1424,8
Cable Concentration Curl,arms,beginner,5.0,1,0,1109,8
Incline Plank With Alternate Floor Touch,abs,beginner,5.0,1,0,312,10
Crunches,abs,beginner,5.0,1,0,167,10
Reverse Grip Bench Press,chest,beginner,5.0,1,0,498,11
Triceps Pushdown,arms,beginner,5.0,1,0,1185,8
Power Clean,chest,beginner,5.0,1,0,683,11
Hercules Pillars,arms,beginner,5.0,1,0,284,8
"Calf raises, one legged",calves,beginner,5.0,1,0,702,14
Horizontal traction isometry,abs,beginner,5.0,1,0,1101,10
Incline OHP DB,shoulders,beginner,5.0,1,0,1441,13
Dips,chest,beginner,5.0,1,0,194,11
Low Pulley Cable fFly,chest,beginner,5.0,1,0,1271,11
Seated Dumbbell Calf Raise,calves,beginner,5.0,1,0,1620,14
Straight-arm Pull Down (rope Attachment),back,beginner,5.0,1,0,629,12
Leg Curls (standing),legs,beginner,5.0,1,0,367,9
Leg Presses (wide),legs,beginner,5.0,1,0,374,9
Reverse Snow Angel,back,beginner,5.0,1,0,1215,12
Side plank right,abs,beginner,5.0,0,0,1019,10
Barbell Ab Rollout,abs,beginner,5.0,1,0,41,10
Overhand Cable Curl,abs,beginner,5.0,1,0,439,10
Dumbbell Lunges Walking,legs,beginner,5.0,1,0,206,9
Barbell Lunges Standing,legs,beginner,5.0,1,0,46,9
Skydiver with arms in T-position,back,beginner,5.0,0,0,1210,12
Single Leg RDL,legs,beginner,5.0,1,0,1389,9
"Shrugs, Dumbbells",shoulders,beginner,5.0,1,0,572,13
Butterfly Sit Up,abs,beginner,5.0,1,0,1476,10
Hammercurls on Cable,arms,beginner,5.0,1,0,275,8
bicycle crunches,abs,beginner,5.0,1,0,1412,10
Full Sit Outs,abs,beginner,5.0,1,0,260,10
Muscle up,back,beginner,5.0,1,0,423,12
Standing Soleus Stretch,legs,beginner,5.0,1,0,1240,9
Butterfly Reverse,shoulders,beginner,5.0,1,0,139,13
Lat Pull Down (Leaning Back),back,beginner,5.0,1,0,354,12
Low-Cable Cross-Over - NB,chest,beginner,5.0,1,0,1296,11
Frog stand,abs,beginner,5.0,1,0,1238,10
Seated Hip Adduction,legs,beginner,5.0,1,0,12,9
Unilateral Cable row,back,beginner,5.0,1,0,1621,12
Remo maquina agarre estrecho supino,back,beginner,5.0,0,0,1120,12
Pull-up Isometric Hold,back,beginner,5.0,1,0,1537,12
Schwimmen,cardio,beginner,5.0,0,0,1574,15
